LASTNAME,FIRSTNAME,BADGE LABEL,BADGE LEVEL
Kuhlman,Fleta,SensioLabs Certified Symfony Developer (Advanced),2
Kuhlman,Fleta,Composer Documentation Contributor,1
Kuhlman,Fleta,Doctrine Code Contributor,1
Kuhlman,Fleta,Attended a training on Symfony2 (level 3) at SensioLabs,2
Kuhlman,Fleta,Twig Code Contributor,1
Kuhlman,Fleta,Swiftmailer Documentation Contributor,1
Kuhlman,Fleta,Composer Code Contributor,1
Kuhlman,Fleta,Doctrine Documentation Contributor,1
Kuhlman,Fleta,Monolog Documentation Contributor,1
Kuhlman,Fleta,Three year membership,2
Kuhlman,Fleta,Two year membership,1
Kuhlman,Fleta,One year membership,1
Julien,Elisabeth,Symfony Code Contributor,1
Julien,Elisabeth,Silex Code Contributor,1
Julien,Elisabeth,Helped write a book about Symfony,3
Julien,Elisabeth,Twig Documentation Contributor,1
Julien,Elisabeth,SensioLabs Certified Symfony Developer (Advanced),2
Julien,Elisabeth,Doctrine Code Contributor,1
Julien,Elisabeth,SensioLabs Certified Symfony Developer (Expert),3
Julien,Elisabeth,Symfony Documentation Contributor,1
Julien,Elisabeth,Doctrine Documentation Contributor,1
Julien,Elisabeth,Composer Code Contributor,1
Julien,Elisabeth,Six year membership,3
Julien,Elisabeth,Five year membership,3
Julien,Elisabeth,Four year membership,2
Julien,Elisabeth,Three year membership,2
Julien,Elisabeth,Two year membership,1
Julien,Elisabeth,One year membership,1
Morel,Alexander,Doctrine Documentation Contributor,1
Morel,Alexander,Twig Code Contributor,1
Morel,Alexander,Symfony CMF Code Contributor,1
Morel,Alexander,SensioLabs Certified Symfony Developer (Expert),3
Morel,Alexander,Helped write a book about Symfony,3
Morel,Alexander,Doctrine Code Contributor,1
Morel,Alexander,Monolog Documentation Contributor,1
Morel,Alexander,Four year membership,2
Morel,Alexander,Three year membership,2
Morel,Alexander,Two year membership,1
Morel,Alexander,One year membership,1
Kshlerin,Walter,SensioLabs Certified Symfony Developer (Advanced),2
Kshlerin,Walter,Symfony CMF Code Contributor,1
Kshlerin,Walter,Doctrine Code Contributor,1
Kshlerin,Walter,Symfony Documentation Contributor,1
Kshlerin,Walter,Silex Code Contributor,1
Kshlerin,Walter,Composer Documentation Contributor,1
Kshlerin,Walter,Attended a training on Symfony2 (level 3) at SensioLabs,2
Kshlerin,Walter,Helped write a book about Symfony,3
Kshlerin,Walter,Symfony Code Contributor,1
Kshlerin,Walter,Swiftmailer Documentation Contributor,1
Kshlerin,Walter,Swiftmailer Code Contributor,1
Kshlerin,Walter,Doctrine Documentation Contributor,1
Kshlerin,Walter,Twig Documentation Contributor,1
Kshlerin,Walter,Silex Documentation Contributor,1
